country,region,subregion,appellation_or_village,vineyard,classification,notes
France,Burgundy,Chablis,Chablis Premier Cru,Mont de Milieu,Premier Cru,Umbrella climat (flag-bearing)
France,Burgundy,Chablis,Chablis Premier Cru,Vallée de Chigot,Premier Cru,Associated with umbrella climat: Mont de Milieu
France,Burgundy,Chablis,Chablis Premier Cru,Montée de Tonnerre,Premier Cru,Umbrella climat (flag-bearing)
France,Burgundy,Chablis,Chablis Premier Cru,Chapelot,Premier Cru,Associated with umbrella climat: Montée de Tonnerre
France,Burgundy,Chablis,Chablis Premier Cru,Les Chapelots,Premier Cru,Associated with umbrella climat: Montée de Tonnerre
France,Burgundy,Chablis,Chablis Premier Cru,Pied d’Aloup,Premier Cru,Associated with umbrella climat: Montée de Tonnerre
France,Burgundy,Chablis,Chablis Premier Cru,Sous Pied d’Aloup,Premier Cru,Associated with umbrella climat: Montée de Tonnerre
France,Burgundy,Chablis,Chablis Premier Cru,Côte de Bréchain,Premier Cru,Associated with umbrella climat: Montée de Tonnerre
France,Burgundy,Chablis,Chablis Premier Cru,Fourchaume,Premier Cru,Umbrella climat (flag-bearing)
France,Burgundy,Chablis,Chablis Premier Cru,Vaupulent,Premier Cru,Associated with umbrella climat: Fourchaume
France,Burgundy,Chablis,Chablis Premier Cru,Vau Pulan,Premier Cru,Associated with umbrella climat: Fourchaume
France,Burgundy,Chablis,Chablis Premier Cru,Les Vaupulans,Premier Cru,Associated with umbrella climat: Fourchaume
France,Burgundy,Chablis,Chablis Premier Cru,La Fourchaume,Premier Cru,Associated with umbrella climat: Fourchaume
France,Burgundy,Chablis,Chablis Premier Cru,Côte de Fontenay,Premier Cru,Associated with umbrella climat: Fourchaume
France,Burgundy,Chablis,Chablis Premier Cru,Dine-Chien,Premier Cru,Associated with umbrella climat: Fourchaume
France,Burgundy,Chablis,Chablis Premier Cru,L’Homme Mort,Premier Cru,Associated with umbrella climat: Fourchaume
France,Burgundy,Chablis,Chablis Premier Cru,La Grande Côte,Premier Cru,Associated with umbrella climat: Fourchaume
France,Burgundy,Chablis,Chablis Premier Cru,Bois Seguin,Premier Cru,Associated with umbrella climat: Fourchaume
France,Burgundy,Chablis,Chablis Premier Cru,L’Ardillier,Premier Cru,Associated with umbrella climat: Fourchaume
France,Burgundy,Chablis,Chablis Premier Cru,Vaulorent,Premier Cru,Associated with umbrella climat: Fourchaume
France,Burgundy,Chablis,Chablis Premier Cru,Les Quatre Chemins,Premier Cru,Associated with umbrella climat: Fourchaume
France,Burgundy,Chablis,Chablis Premier Cru,La Ferme Couverte,Premier Cru,Associated with umbrella climat: Fourchaume
France,Burgundy,Chablis,Chablis Premier Cru,Les Couvertes,Premier Cru,Associated with umbrella climat: Fourchaume
France,Burgundy,Chablis,Chablis Premier Cru,Vaillons,Premier Cru,Umbrella climat (flag-bearing)
France,Burgundy,Chablis,Chablis Premier Cru,Sur les Vaillons,Premier Cru,Associated with umbrella climat: Vaillons
France,Burgundy,Chablis,Chablis Premier Cru,Chatains,Premier Cru,Associated with umbrella climat: Vaillons
France,Burgundy,Chablis,Chablis Premier Cru,Les Grands Chaumes,Premier Cru,Associated with umbrella climat: Vaillons
France,Burgundy,Chablis,Chablis Premier Cru,Les Chatains,Premier Cru,Associated with umbrella climat: Vaillons
France,Burgundy,Chablis,Chablis Premier Cru,Sécher,Premier Cru,Associated with umbrella climat: Vaillons
France,Burgundy,Chablis,Chablis Premier Cru,Beugnons,Premier Cru,Associated with umbrella climat: Vaillons
France,Burgundy,Chablis,Chablis Premier Cru,Les Beugnons,Premier Cru,Associated with umbrella climat: Vaillons
France,Burgundy,Chablis,Chablis Premier Cru,Les Lys,Premier Cru,Associated with umbrella climat: Vaillons
France,Burgundy,Chablis,Chablis Premier Cru,Champlain,Premier Cru,Associated with umbrella climat: Vaillons
France,Burgundy,Chablis,Chablis Premier Cru,Mélinots,Premier Cru,Associated with umbrella climat: Vaillons
France,Burgundy,Chablis,Chablis Premier Cru,Les Minos,Premier Cru,Associated with umbrella climat: Vaillons
France,Burgundy,Chablis,Chablis Premier Cru,Roncières,Premier Cru,Associated with umbrella climat: Vaillons
France,Burgundy,Chablis,Chablis Premier Cru,Les Epinottes,Premier Cru,Associated with umbrella climat: Vaillons
France,Burgundy,Chablis,Chablis Premier Cru,Montmains,Premier Cru,Umbrella climat (flag-bearing)
France,Burgundy,Chablis,Chablis Premier Cru,Les Monts Mains,Premier Cru,Associated with umbrella climat: Montmains
France,Burgundy,Chablis,Chablis Premier Cru,Forêts,Premier Cru,Associated with umbrella climat: Montmains
France,Burgundy,Chablis,Chablis Premier Cru,Les Forêts,Premier Cru,Associated with umbrella climat: Montmains
France,Burgundy,Chablis,Chablis Premier Cru,Butteaux,Premier Cru,Associated with umbrella climat: Montmains
France,Burgundy,Chablis,Chablis Premier Cru,Les Bouts des Butteaux,Premier Cru,Associated with umbrella climat: Montmains
France,Burgundy,Chablis,Chablis Premier Cru,Vaux Miolot,Premier Cru,Associated with umbrella climat: Montmains
France,Burgundy,Chablis,Chablis Premier Cru,Le Milieu des Butteaux,Premier Cru,Associated with umbrella climat: Montmains
France,Burgundy,Chablis,Chablis Premier Cru,Les Ecueillis,Premier Cru,Associated with umbrella climat: Montmains
France,Burgundy,Chablis,Chablis Premier Cru,Vaugerlains,Premier Cru,Associated with umbrella climat: Montmains
France,Burgundy,Chablis,Chablis Premier Cru,Côte de Léchet,Premier Cru,Umbrella climat (flag-bearing)
France,Burgundy,Chablis,Chablis Premier Cru,Le Château,Premier Cru,Associated with umbrella climat: Côte de Léchet
France,Burgundy,Chablis,Chablis Premier Cru,Beauroy,Premier Cru,Umbrella climat (flag-bearing)
France,Burgundy,Chablis,Chablis Premier Cru,Sous Boroy,Premier Cru,Associated with umbrella climat: Beauroy
France,Burgundy,Chablis,Chablis Premier Cru,Vallée des Vaux,Premier Cru,Associated with umbrella climat: Beauroy
France,Burgundy,Chablis,Chablis Premier Cru,Benfer,Premier Cru,Associated with umbrella climat: Beauroy
