country,region,subregion,appellation_or_village,vineyard,classification,notes
France,Champagne,,Avenay-Val-d’Or,Avenay-Val-d’Or,Premier Cru,
France,Champagne,,Bergères-lès-Vertus,Bergères-lès-Vertus,Premier Cru,
France,Champagne,,Bezannes,Bezannes,Premier Cru,
France,Champagne,,Billy-le-Grand,Billy-le-Grand,Premier Cru,
France,Champagne,,Bisseuil,Bisseuil,Premier Cru,
France,Champagne,,Chamery,Chamery,Premier Cru,
France,Champagne,,Champillon,Champillon,Premier Cru,
France,Champagne,,Chigny-les-Roses,Chigny-les-Roses,Premier Cru,
France,Champagne,,Coligny (Val-des-Marais),Coligny (Val-des-Marais),Premier Cru,
France,Champagne,,Cormontreuil,Cormontreuil,Premier Cru,
France,Champagne,,Coulommes-la-Montagne,Coulommes-la-Montagne,Premier Cru,
France,Champagne,,Cuis,Cuis,Premier Cru,
France,Champagne,,Cumières,Cumières,Premier Cru,
France,Champagne,,Dizy,Dizy,Premier Cru,
France,Champagne,,Écueil,Écueil,Premier Cru,
France,Champagne,,Etrechy,Etrechy,Premier Cru,
France,Champagne,,Grauves,Grauves,Premier Cru,
France,Champagne,,Hautvillers,Hautvillers,Premier Cru,
France,Champagne,,Jouy-lès-Reims,Jouy-lès-Reims,Premier Cru,
France,Champagne,,Ludes,Ludes,Premier Cru,
France,Champagne,,Mareuil-sur-Ay,Mareuil-sur-Ay,Premier Cru,
France,Champagne,,Les Mesneux,Les Mesneux,Premier Cru,
France,Champagne,,Montbré,Montbré,Premier Cru,
France,Champagne,,Mutigny,Mutigny,Premier Cru,
France,Champagne,,Pargny-lès-Reims,Pargny-lès-Reims,Premier Cru,
France,Champagne,,Pierry,Pierry,Premier Cru,
France,Champagne,,Rilly-la-Montagne,Rilly-la-Montagne,Premier Cru,
France,Champagne,,Sacy,Sacy,Premier Cru,
France,Champagne,,Sermiers,Sermiers,Premier Cru,
France,Champagne,,Taissy,Taissy,Premier Cru,
France,Champagne,,Tauxières,Tauxières,Premier Cru,
France,Champagne,,Trépail,Trépail,Premier Cru,
France,Champagne,,Trois-Puits,Trois-Puits,Premier Cru,
France,Champagne,,Vaudemange,Vaudemange,Premier Cru,
France,Champagne,,Vertus,Vertus,Premier Cru,
France,Champagne,,Villedommange,Villedommange,Premier Cru,
France,Champagne,,Villeneuve-Renneville,Villeneuve-Renneville,Premier Cru,
France,Champagne,,Villers-Allerand,Villers-Allerand,Premier Cru,
France,Champagne,,Villers-aux-Nœuds,Villers-aux-Nœuds,Premier Cru,
France,Champagne,,Villers-Marmery,Villers-Marmery,Premier Cru,
France,Champagne,,Voipreux,Voipreux,Premier Cru,
France,Champagne,,Vrigny,Vrigny,Premier Cru,
France,Burgundy,Chablis,Chablis Premier Cru,Beauroy,Premier Cru,
France,Burgundy,Chablis,Chablis Premier Cru,Berdiot,Premier Cru,
France,Burgundy,Chablis,Chablis Premier Cru,Chaume de Talvat,Premier Cru,
France,Burgundy,Chablis,Chablis Premier Cru,Côte de Cuissy,Premier Cru,
France,Burgundy,Chablis,Chablis Premier Cru,Côte de Jouan,Premier Cru,
France,Burgundy,Chablis,Chablis Premier Cru,Côte de Léchet,Premier Cru,
France,Burgundy,Chablis,Chablis Premier Cru,Fourchaume,Premier Cru,
France,Burgundy,Chablis,Chablis Premier Cru,Homme Mort,Premier Cru,
France,Burgundy,Chablis,Chablis Premier Cru,Vaupulent,Premier Cru,
France,Burgundy,Chablis,Chablis Premier Cru,Côte de Fontenay,Premier Cru,
France,Burgundy,Chablis,Chablis Premier Cru,Côte de Vaubarousse,Premier Cru,
France,Burgundy,Chablis,Chablis Premier Cru,Les Beauregards,Premier Cru,
France,Burgundy,Chablis,Chablis Premier Cru,Les Beugnons,Premier Cru,
France,Burgundy,Chablis,Chablis Premier Cru,Les Chapelots,Premier Cru,
France,Burgundy,Chablis,Chablis Premier Cru,Les Charms,Premier Cru,
France,Burgundy,Chablis,Chablis Premier Cru,Les Epinottes,Premier Cru,
France,Burgundy,Chablis,Chablis Premier Cru,Les Lys,Premier Cru,
France,Burgundy,Chablis,Chablis Premier Cru,Les Margotes,Premier Cru,
France,Burgundy,Chablis,Chablis Premier Cru,Les Pargues,Premier Cru,
France,Burgundy,Chablis,Chablis Premier Cru,Les Petits Côtes,Premier Cru,
France,Burgundy,Chablis,Chablis Premier Cru,Les Preuses (PC portion),Premier Cru,
France,Burgundy,Chablis,Chablis Premier Cru,Les Roncières,Premier Cru,
France,Burgundy,Chablis,Chablis Premier Cru,Les Vaux Ragons,Premier Cru,
France,Burgundy,Chablis,Chablis Premier Cru,Mont de Milieu,Premier Cru,
France,Burgundy,Chablis,Chablis Premier Cru,Montée de Tonnerre,Premier Cru,
France,Burgundy,Chablis,Chablis Premier Cru,Forêt,Premier Cru,
France,Burgundy,Chablis,Chablis Premier Cru,Pied d’Aloup,Premier Cru,
France,Burgundy,Chablis,Chablis Premier Cru,Côte de Bréchain,Premier Cru,
France,Burgundy,Chablis,Chablis Premier Cru,Chaume de Talvat,Premier Cru,
France,Burgundy,Chablis,Chablis Premier Cru,Vaillons,Premier Cru,
France,Burgundy,Chablis,Chablis Premier Cru,Beugnons,Premier Cru,
France,Burgundy,Chablis,Chablis Premier Cru,Chatains,Premier Cru,
France,Burgundy,Chablis,Chablis Premier Cru,Les Epinottes,Premier Cru,
France,Burgundy,Chablis,Chablis Premier Cru,Les Lys,Premier Cru,
France,Burgundy,Chablis,Chablis Premier Cru,Secher,Premier Cru,
France,Burgundy,Chablis,Chablis Premier Cru,Les Minots,Premier Cru,
France,Burgundy,Chablis,Chablis Premier Cru,Montmains,Premier Cru,
France,Burgundy,Chablis,Chablis Premier Cru,Vosgros,Premier Cru,
France,Burgundy,Chablis,Chablis Premier Cru,Vaucoupin,Premier Cru,
France,Burgundy,Chablis,Chablis Premier Cru,Vaulorent,Premier Cru,
