country,region,subregion,appellation_or_village,vineyard,classification,notes
France,Burgundy,Côte de Beaune,Meursault,Au Moulin Judas,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Au Moulin Landin,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Au Murger de Monthélie,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Au Village,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Clos de la Barre,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Clos des Mouches,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,En Gargouillot,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,En l'Ormeau,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,En la Barre,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,En Marcausse,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,La Barre Dessus,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Le Bois de Blagny,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Le Buisson Certaut,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Le Cromin,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Le Limozin,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Le Meix sous le Château,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Le Meix Tavaux,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Le Pré de Manche,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Le Tesson,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Les Casse-Têtes,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Les Chaumes,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Les Chaumes de Narvaux,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Les Chevalières,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Les Clous Dessous,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Les Clous Dessus,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Les Corbins,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Les Criots,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Les Dressoles,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Les Durots,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Les Forges,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Les Gorges de Narvaux,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Les Grands Charrons,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Les Gruyaches,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Les Luchets,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Les Magny,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Les Malpoiriers,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Les Meix Chavaux,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Les Millerands,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Les Narvaux Dessoux,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Les Narvaux Dessus,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Les Pellans,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Les Pelles-Dessous,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Les Pelles-Dessus,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Les Perchots,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Les Petits Charrons,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Les Peutes Vignes,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Les Rougeots,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Les Santenots Dessous,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Les Terres Blanches,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Les Tillets,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Les Vireuils Dessous,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Les Vireuils Dessus,Premier Cru,

