country,region,subregion,appellation_or_village,vineyard,classification,notes
France,Burgundy,Côte de Beaune,Meursault,Blagny,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Charmes,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Genevrières,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Goutte d'Or,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,La Jeunelotte,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,La Pièce sous le Bois,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,La Poruzot,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Les Combettes,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Les Cras,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Les Esserts,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Les Lavières,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Les Murgers,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Les Nanches,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Les Peix,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Les Porusot,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Les Santenots Blancs,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Les Santenots du Dessous,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Les Santenots du Milieu,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Sous Blagny,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Sous le Dos d'Ane,Premier Cru,
France,Burgundy,Côte de Beaune,Meursault,Les Vignes Blanches,Premier Cru,

